full_name,id_Player,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Riyad Mahrez,Riy-667,30,667094400,33290,Premier League,2018/2019,Midfielder,Manchester City,1339,647,692,Algeria,27,14,13,7,1,6,4,2,2,0,1,13,6,7,9,4,5,0,0,0.74,0.27,0.47,0.14,0.78,191,0.6,149,50,0,335,0,22,32,-1,6
Rob Holding,Rob-811,25,811555200,34962,Premier League,2018/2019,Defender,Arsenal,807,501,306,England,10,6,4,0,0,0,0,0,0,0,0,2,2,0,10,5,5,1,0,0,0,0,0,0,0,1.12,81,81,807,0,0.11,389,411,47,24
Robbie Brady,Rob-695,29,695347200,33617,Premier League,2018/2019,Midfielder,Burnley,715,390,325,Republic of Ireland,16,9,7,0,0,0,1,0,1,0,0,2,1,1,12,8,4,4,1,0.13,0.13,0,0,0,0,1.51,60,45,143,715,0.63,268,108,-1,13
Robert Kenedy Nunes do Nascimento,Rob-823,25,823737600,35103,Premier League,2018/2019,Midfielder,Newcastle United,1344,611,733,Brazil,25,13,12,1,0,1,1,1,0,0,1,8,3,5,17,9,8,1,0,0.13,0.07,0.07,0,0.12,1344,1.14,79,54,1344,1344,0.07,193,184,-1,9
Robert Snodgrass,Rob-557,33,557971200,32027,Premier League,2018/2019,Midfielder,West Ham United,2222,1108,1114,Scotland,33,16,17,2,1,1,5,4,1,0,0,6,3,3,31,16,15,10,0,0.28,0.2,0.08,0.08,0.08,1111,1.26,72,67,222,444,0.41,188,64,-1,8
Roberto Firmino,Rob-686,29,686361600,33513,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,18,12,7,5,6,3,3,1,0,18,9,9,13,7,6,0,0,0.62,0.21,0.41,0.47,0.35,218,0.45,202,77,0,437,0,32,62,-1,3
Roberto Maximiliano Pereyra,Rob-663,30,663206400,33245,Premier League,2018/2019,Forward,Watford,2825,1467,1358,Argentina,33,17,16,6,5,1,1,0,1,0,0,5,3,2,52,27,25,3,0,0.22,0.03,0.19,0.31,0.07,471,1.66,54,86,942,2825,0.1,97,251,-1,4
Romain Saïss,Rom-638,31,638409600,32958,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,Morocco,19,8,11,2,1,1,0,0,0,0,0,4,3,1,16,6,10,7,0,0.16,0,0.16,0.17,0.15,572,1.26,72,60,163,0,0.55,115,264,-1,7
Romelu Lukaku,Rom-737,27,737251200,34102,Premier League,2018/2019,Forward,Manchester United,2130,982,1148,Belgium,32,16,16,12,4,8,0,0,0,0,0,7,2,5,36,14,22,4,0,0.51,0,0.51,0.37,0.63,178,1.52,59,67,533,0,0.17,16,305,-1,2
Rondon,Ron-621,31,621907200,32767,Premier League,2018/2019,Forward,Newcastle United,2609,1343,1266,Venezuela,32,16,16,11,6,5,7,5,2,0,0,10,5,5,29,14,15,1,0,0.62,0.24,0.38,0.4,0.36,237,1,90,82,2609,373,0.03,40,43,-1,2
Ross Barkley,Ros-755,27,755049600,34308,Premier League,2018/2019,Midfielder,Chelsea,1241,432,809,England,27,11,16,3,1,2,5,2,3,0,0,11,5,6,13,5,8,1,0,0.58,0.36,0.22,0.21,0.22,414,0.94,95,46,1241,248,0.07,84,12,-1,7
Rúben Diogo Da Silva Neves,Rú-858,24,858211200,35502,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,Portugal,35,17,18,4,3,1,3,2,1,2,0,8,6,2,40,19,21,8,0,0.21,0.09,0.12,0.19,0.06,752,1.2,75,86,376,1003,0.24,145,162,-1,3
Rúben Gonçalo Silva Nascimento Vinagre,Rú-923,22,923616000,36259,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,Portugal,17,12,5,0,0,0,0,0,0,0,0,5,4,1,9,6,3,1,0,0,0,0,0,0,0,1.15,78,41,703,0,0.13,406,323,54,15
Ruben Loftus-Cheek,Rub-822,25,822355200,35087,Premier League,2018/2019,Midfielder,Chelsea,983,507,476,England,24,12,12,6,3,3,2,2,0,0,0,12,9,3,8,2,6,0,0,0.73,0.18,0.55,0.53,0.57,164,0.73,123,41,0,492,0,11,83,-1,3
Rui Pedro dos Santos Patrício,Rui-571,33,571881600,32188,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,1620,1710,Portugal,37,18,19,0,0,0,0,0,0,0,0,8,6,2,43,20,23,0,0,0,0,0,0,0,0,1.16,77,90,0,0,0,405,328,56,19
Ryan Bennett,Rya-636,31,636681600,32938,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,1710,1350,England,34,19,15,1,1,0,0,0,0,0,0,9,7,2,36,20,16,12,0,0.03,0,0.03,0.05,0,3060,1.06,85,90,255,0,0.35,256,304,40,10
Ryan Bertrand,Rya-618,31,618278400,32725,Premier League,2018/2019,Defender,Southampton,2160,1170,990,England,24,13,11,1,1,0,0,0,0,0,0,6,3,3,36,15,21,8,0,0.04,0,0.04,0.08,0,2160,1.5,60,90,270,0,0.33,245,366,117,13
Ryan Fraser,Rya-762,27,762048000,34389,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,1605,1568,Scotland,38,19,19,7,5,2,14,5,9,0,0,10,6,4,61,23,38,2,0,0.6,0.4,0.2,0.28,0.11,453,1.73,52,84,1587,227,0.06,95,9,-1,3
Ryan Fredericks,Rya-718,28,718675200,33887,Premier League,2018/2019,Midfielder,West Ham United,1085,404,681,England,15,5,10,1,1,0,0,0,0,0,0,3,2,1,13,1,12,5,0,0.08,0,0.08,0.22,0,1085,1.08,83,72,217,0,0.41,189,340,-1,11
Ryan Giles,Rya-948,21,948844800,36551,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ryan Guno Babel,Rya-535,34,535334400,31765,Premier League,2018/2019,Forward,Fulham,1260,668,592,Netherlands,16,9,7,5,3,2,3,3,0,0,0,3,2,1,24,12,12,3,0,0.57,0.21,0.36,0.4,0.3,252,1.71,53,79,420,420,0.21,47,61,-1,3
Ryan Schofield,Rya-944,21,944870400,36505,Premier League,2018/2019,Goalkeeper,Huddersfield Town,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ryan Sessegnon,Rya-958,20,958608000,36664,Premier League,2018/2019,Defender,Fulham,2298,1095,1203,England,35,18,17,2,1,1,6,3,3,0,0,4,3,1,58,22,36,0,0,0.31,0.23,0.08,0.08,0.07,1149,2.27,40,66,0,383,0,182,53,168,6
Sadio Mané,Sad-702,28,702864000,33704,Premier League,2018/2019,Forward,Liverpool,3086,1643,1443,Senegal,36,19,17,22,18,4,1,0,1,0,0,20,12,8,18,8,10,2,0,0.67,0.03,0.64,0.99,0.25,140,0.52,171,86,1543,3086,0.06,4,249,-1,1
Sam Gallagher,Sam-811,25,811123200,34957,Premier League,2018/2019,Forward,Southampton,30,7,23,England,4,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,17
Sam Surridge,Sam-901,22,901584000,36004,Premier League,2018/2019,Forward,AFC Bournemouth,11,0,11,England,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,15
Sam Vokes,Sam-624,31,624931200,32802,Premier League,2018/2019,Forward,Burnley,913,455,458,Wales,20,10,10,3,2,1,0,0,0,0,0,4,2,2,18,9,9,0,0,0.3,0,0.3,0.4,0.2,304,1.77,51,46,0,0,0,64,351,-1,3
Sam Woods,Sam-905,22,905472000,36049,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Samir Nasri,Sam-551,33,551664000,31954,Premier League,2018/2019,Midfielder,West Ham United,246,102,144,France,5,2,3,0,0,0,2,2,0,0,0,1,1,0,2,1,1,0,0,0.73,0.73,0,0,0,0,0.73,123,49,0,123,0,-1,-1,-1,15
Sandro Ramirez,San-805,25,805248000,34889,Premier League,2018/2019,Forward,Everton,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Scott Dann,Sco-540,34,540259200,31822,Premier League,2018/2019,Defender,Crystal Palace,660,360,300,England,10,4,6,0,0,0,1,0,1,0,0,3,2,1,7,4,3,1,0,0.14,0.14,0,0,0,0,0.95,94,66,660,660,0.14,276,101,24,14
Scott McTominay,Sco-850,24,850003200,35407,Premier League,2018/2019,Midfielder,Manchester United,861,345,516,England,16,7,9,2,0,2,0,0,0,0,0,3,1,2,17,6,11,1,0,0.21,0,0.21,0,0.35,431,1.78,51,54,861,0,0.1,91,303,-1,8
Sead Kolašinac,Sea-740,27,740534400,34140,Premier League,2018/2019,Defender,Arsenal,1891,1127,764,Bosnia and Herzegovina,24,14,10,0,0,0,5,3,2,0,0,5,5,0,26,10,16,5,0,0.24,0.24,0,0,0,0,1.24,73,79,378,378,0.24,285,45,75,22
Séamus Coleman,Sé-592,32,592531200,32427,Premier League,2018/2019,Defender,Everton,2560,1333,1227,Republic of Ireland,29,15,14,2,2,0,2,0,2,0,0,13,8,5,29,15,14,1,0,0.14,0.07,0.07,0.14,0,1280,1.02,88,88,2560,1280,0.04,197,178,34,8
Sean Longstaff,Sea-878,23,878169600,35733,Premier League,2018/2019,Midfielder,Newcastle United,688,355,333,England,9,4,5,1,1,0,0,0,0,0,0,3,3,0,8,1,7,2,0,0.13,0,0.13,0.25,0,688,1.05,86,76,344,0,0.26,135,263,-1,11
Sean Morrison,Sea-663,30,663292800,33246,Premier League,2018/2019,Defender,Cardiff City,3040,1600,1440,England,34,18,16,1,0,1,3,2,1,0,0,9,4,5,57,34,23,6,0,0.12,0.09,0.03,0,0.06,3040,1.69,53,89,507,1013,0.18,255,164,140,8
Sebastian Prödl,Seb-551,33,551232000,31949,Premier League,2018/2019,Defender,Watford,13,0,13,Austria,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,22
Serge Aurier,Ser-725,28,725155200,33962,Premier League,2018/2019,Defender,Tottenham Hotspur,564,136,428,Côte d'Ivoire,8,2,6,0,0,0,2,0,2,0,0,3,0,3,9,2,7,1,0,0.32,0.32,0,0,0,0,1.44,63,71,564,282,0.16,351,15,108,27
Sergio Aguero,Ser-581,32,581212800,32296,Premier League,2018/2019,Forward,Manchester City,2480,1125,1355,Argentina,33,16,17,21,15,6,8,5,3,2,0,19,8,11,15,8,7,3,0,1.05,0.29,0.76,1.2,0.4,118,0.54,165,75,827,310,0.11,1,28,-1,1
Sergio Germán Romero,Ser-540,34,540950400,31830,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sergio Rico,Ser-746,27,746841600,34213,Premier League,2018/2019,Goalkeeper,Fulham,2610,1350,1260,Spain,29,15,14,0,0,0,0,0,0,0,0,5,3,2,53,24,29,1,0,0,0,0,0,0,0,1.83,49,90,2610,0,0.03,320,406,153,21
Shane Duffy,Sha-694,29,694224000,33604,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,1558,1530,Republic of Ireland,35,18,17,5,2,3,1,1,0,0,0,7,5,2,51,23,28,5,1,0.17,0.03,0.15,0.12,0.18,618,1.49,61,88,515,3088,0.17,123,253,115,2
Shane Long,Sha-538,34,538272000,31799,Premier League,2018/2019,Forward,Southampton,1269,629,640,Republic of Ireland,26,15,11,5,3,2,1,1,0,0,0,5,2,3,20,7,13,3,0,0.43,0.07,0.35,0.43,0.28,254,1.42,63,49,423,1269,0.21,51,182,-1,4
Shinji Okazaki,Shi-513,34,513993600,31518,Premier League,2018/2019,Forward,Leicester City,269,126,143,Japan,21,13,8,0,0,0,1,0,1,0,0,2,2,0,1,0,1,0,0,0.33,0.33,0,0,0,0,0.33,269,13,0,269,0,-1,-1,-1,19
Shkodran Mustafi,Shk-703,28,703468800,33711,Premier League,2018/2019,Defender,Arsenal,2617,1263,1354,Germany,31,15,16,2,0,2,0,0,0,0,0,6,5,1,36,12,24,9,0,0.07,0,0.07,0,0.13,1309,1.24,73,84,291,0,0.31,201,378,74,9
Simon Francis,Sim-477,36,477360000,31094,Premier League,2018/2019,Defender,AFC Bournemouth,1226,675,551,England,17,9,8,0,0,0,2,1,1,0,0,5,3,2,23,11,12,1,0,0.15,0.15,0,0,0,0,1.69,53,72,1226,613,0.07,360,99,138,26
Simon Mignolet,Sim-573,33,573609600,32208,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sokratis Papastathopoulos,Sok-581,32,581817600,32303,Premier League,2018/2019,Defender,Arsenal,2199,1119,1080,Greece,25,13,12,1,0,1,2,2,0,0,0,6,6,0,31,9,22,12,0,0.12,0.08,0.04,0,0.08,2199,1.27,71,88,183,1100,0.49,234,173,82,12
Solomon March,Sol-774,26,774662400,34535,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,1153,1320,England,35,16,19,1,1,0,5,1,4,0,0,6,4,2,39,13,26,1,0,0.22,0.18,0.04,0.08,0,2473,1.42,63,71,2473,495,0.04,242,82,-1,11
Souleymane Bamba,Sou-474,36,474422400,31060,Premier League,2018/2019,Defender,Cardiff City,2475,1260,1215,Côte d'Ivoire,28,14,14,4,2,2,1,1,0,0,0,7,4,3,46,23,23,7,0,0.18,0.04,0.15,0.14,0.15,619,1.67,54,88,354,2475,0.25,118,222,136,4
Stefan Marius Johansen,Ste-663,30,663292800,33246,Premier League,2018/2019,Midfielder,Fulham,412,130,282,Norway,12,5,7,0,0,0,0,0,0,0,0,0,0,0,11,1,10,4,0,0,0,0,0,0,0,2.4,37,34,103,0,0.87,318,401,-1,24
Stefano Okaka,Ste-618,31,618624000,32729,Premier League,2018/2019,Forward,Watford,22,9,13,Italy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4.09,22,11,22,0,4.09,-1,-1,-1,16
Stephan Lichtsteiner,Ste-443,37,443059200,30697,Premier League,2018/2019,Defender,Arsenal,940,408,532,Switzerland,14,7,7,0,0,0,0,0,0,0,0,2,2,0,18,4,14,3,0,0,0,0,0,0,0,1.72,52,67,313,0,0.29,387,407,147,25
Stephen Ward,Ste-493,35,493344000,31279,Premier League,2018/2019,Defender,Burnley,230,74,156,Republic of Ireland,3,1,2,0,0,0,0,0,0,0,0,1,0,1,6,3,3,1,0,0,0,0,0,0,0,2.35,38,77,230,0,0.39,-1,-1,-1,20
Steve Cook,Ste-672,29,672019200,33347,Premier League,2018/2019,Defender,AFC Bournemouth,2787,1350,1437,England,31,15,16,1,0,1,1,0,1,0,0,9,6,3,53,17,36,3,0,0.06,0.03,0.03,0,0.06,2787,1.71,53,90,929,2787,0.1,254,243,145,9
Steve Mounié,Ste-780,26,780796800,34606,Premier League,2018/2019,Forward,Huddersfield Town,1777,1009,768,Benin,31,16,15,2,2,0,3,1,2,0,0,5,3,2,34,15,19,2,1,0.25,0.15,0.1,0.18,0,889,1.72,52,57,592,592,0.15,168,90,-1,6
Steven Davis,Ste-473,36,473385600,31048,Premier League,2018/2019,Midfielder,Southampton,96,6,90,Northern Ireland,3,2,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0.94,0.94,0,0,0,0,2.81,32,32,0,96,0,-1,-1,-1,22
Steven Defour,Ste-577,32,577065600,32248,Premier League,2018/2019,Midfielder,Burnley,452,172,280,Belgium,6,2,4,0,0,0,0,0,0,0,0,1,0,1,12,5,7,0,0,0,0,0,0,0,0,2.39,38,75,0,0,0,264,321,-1,14
Stuart Armstrong,Stu-701,29,701913600,33693,Premier League,2018/2019,Midfielder,Southampton,1432,469,963,Scotland,29,11,18,3,1,2,2,1,1,0,0,4,1,3,23,8,15,2,0,0.31,0.13,0.19,0.19,0.19,477,1.45,62,49,716,716,0.13,98,114,-1,6
Sullay Kaikai,Sul-809,25,809395200,34937,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sung-Yeung Ki,Sun-601,32,601603200,32532,Premier League,2018/2019,Midfielder,Newcastle United,1302,824,478,South Korea,18,10,8,0,0,0,1,1,0,0,0,5,2,3,18,12,6,2,0,0.07,0.07,0,0,0,0,1.24,72,72,651,1302,0.14,349,179,-1,20
Tahith Chong,Tah-944,21,944265600,36498,Premier League,2018/2019,Forward,Manchester United,36,0,36,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.5,36,18,0,0,0,-1,-1,-1,20
Terence Kongolo,Ter-761,27,761184000,34379,Premier League,2018/2019,Defender,Huddersfield Town,2722,1405,1317,Netherlands,32,17,15,1,0,1,1,0,1,0,0,4,3,1,62,27,35,4,0,0.07,0.03,0.03,0,0.07,2722,2.05,44,85,681,2722,0.13,261,236,165,10
Theo Walcott,The-606,32,606009600,32583,Premier League,2018/2019,Forward,Everton,2122,1114,1008,England,37,19,18,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,90,170,-1,4
Tim Ream,Tim-560,33,560390400,32055,Premier League,2018/2019,Defender,Fulham,2051,943,1108,USA,26,13,13,0,0,0,0,0,0,0,0,5,3,2,47,18,29,1,0,0,0,0,0,0,0,2.06,44,79,2051,0,0.04,265,320,167,12
Timothy Eyoma,Tim-949,21,949104000,36554,Premier League,2018/2019,Defender,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Timothy Fosu-Mensah,Tim-883,23,883699200,35797,Premier League,2018/2019,Defender,Fulham,795,499,296,Netherlands,12,6,6,0,0,0,0,0,0,0,0,1,1,0,18,9,9,3,0,0,0,0,0,0,0,2.04,44,66,265,0,0.34,319,408,164,22
Toby Alderweireld,Tob-604,32,604800000,32569,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,1549,1375,Belgium,34,18,16,0,0,0,0,0,0,0,0,12,6,6,28,15,13,3,0,0,0,0,0,0,0,0.86,104,86,975,0,0.09,356,275,20,20
Tom Cairney,Tom-664,30,664329600,33258,Premier League,2018/2019,Midfielder,Fulham,2198,1107,1091,Scotland,31,16,15,1,1,0,1,1,0,0,0,4,3,1,49,21,28,0,0,0.08,0.04,0.04,0.08,0,2198,2.01,45,71,0,2198,0,238,217,-1,10
Tom Cleverley,Tom-618,31,618883200,32732,Premier League,2018/2019,Midfielder,Watford,470,102,368,England,13,4,9,1,0,1,0,0,0,0,0,4,2,2,7,0,7,2,0,0.19,0,0.19,0,0.24,470,1.34,67,36,235,0,0.38,99,298,-1,11
Tom Davies,Tom-899,22,899164800,35976,Premier League,2018/2019,Midfielder,Everton,975,520,455,England,16,8,8,0,0,0,0,0,0,0,0,5,3,2,18,12,6,3,0,0,0,0,0,0,0,1.66,54,61,325,0,0.28,416,380,-1,18
Tom Heaton,Tom-513,34,513907200,31517,Premier League,2018/2019,Goalkeeper,Burnley,1710,900,810,England,19,10,9,0,0,0,0,0,0,0,0,4,3,1,23,10,13,3,0,0,0,0,0,0,0,1.21,74,90,570,0,0.16,382,354,68,18
Tom Smith,Tom-703,28,703209600,33708,Premier League,2018/2019,Defender,Huddersfield Town,1141,431,710,England,15,6,9,0,0,0,0,0,0,0,0,1,0,1,34,12,22,3,1,0,0,0,0,0,0,2.68,34,76,285,0,0.32,334,360,173,24
Trent Alexander-Arnold,Tre-907,22,907718400,36075,Premier League,2018/2019,Defender,Liverpool,2467,1266,1201,England,29,15,14,1,0,1,12,8,4,0,0,16,11,5,14,4,10,3,0,0.47,0.44,0.04,0,0.07,2467,0.51,176,85,822,206,0.11,233,6,6,13
Troy Deeney,Tro-583,32,583545600,32323,Premier League,2018/2019,Forward,Watford,2548,1298,1250,England,32,16,16,9,3,6,5,1,4,1,0,5,3,2,43,23,20,5,1,0.49,0.18,0.32,0.21,0.43,283,1.52,59,80,425,510,0.21,57,81,-1,2
Tyias Browning,Tyi-769,26,769996800,34481,Premier League,2018/2019,Defender,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tyreke Johnson,Tyr-910,22,910051200,36102,Premier League,2018/2019,Defender,Southampton,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tyrone Mings,Tyr-731,28,731980800,34041,Premier League,2018/2019,Defender,AFC Bournemouth,141,7,134,England,5,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2.55,35,28,0,0,0,-1,-1,-1,23
Vicente Guaita,Vic-537,34,537235200,31787,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,1035,720,Spain,20,12,8,0,0,0,0,0,0,0,0,7,5,2,21,12,9,2,0,0,0,0,0,0,0,1.08,84,88,878,0,0.1,325,352,45,19
Vicente Iborra De La Fuente,Vic-569,33,569289600,32158,Premier League,2018/2019,Midfielder,Leicester City,226,152,74,Spain,8,3,5,0,0,0,0,0,0,0,0,3,1,2,4,2,2,0,0,0,0,0,0,0,0,1.59,57,28,0,0,0,-1,-1,-1,14
Víctor Camarasa,Ví-770,26,770083200,34482,Premier League,2018/2019,Midfielder,Cardiff City,2579,1267,1312,Spain,32,16,16,5,4,1,4,1,3,1,0,8,4,4,48,25,23,6,0,0.31,0.14,0.17,0.28,0.07,516,1.68,54,81,430,645,0.21,111,106,-1,1
Victor Moses,Vic-660,30,660960000,33219,Premier League,2018/2019,Midfielder,Chelsea,26,17,9,Nigeria,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3.46,26,13,0,0,0,-1,-1,-1,23
Victor Nilsson Lindelöf,Vic-774,26,774403200,34532,Premier League,2018/2019,Defender,Manchester United,2602,1112,1490,Sweden,30,13,17,1,1,0,1,0,1,0,0,6,2,4,38,13,25,1,0,0.07,0.03,0.03,0.08,0,2602,1.31,68,87,2602,2602,0.03,263,246,88,14
Victor Wanyama,Vic-677,29,677808000,33414,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,302,207,Kenya,13,9,4,1,1,0,0,0,0,0,0,6,4,2,3,3,0,2,0,0.18,0,0.18,0.3,0,509,0.53,170,39,255,0,0.35,106,266,-1,11
Viktor Gyökeres,Vik-896,22,896918400,35950,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,0,0,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Vincent Janssen,Vin-771,26,771638400,34500,Premier League,2018/2019,Forward,Tottenham Hotspur,36,36,0,Netherlands,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,28
Vincent Kompany,Vin-513,34,513475200,31512,Premier League,2018/2019,Defender,Manchester City,1223,561,662,Belgium,17,8,9,1,1,0,0,0,0,0,0,7,3,4,7,3,4,6,0,0.07,0,0.07,0.16,0,1223,0.52,175,72,204,0,0.44,194,384,7,12
Virgil van Dijk,Vir-678,29,678931200,33427,Premier League,2018/2019,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1,0,0,21,12,9,19,8,11,1,0,0.16,0.05,0.11,0.11,0.11,846,0.51,178,89,3385,1693,0.03,152,201,5,6
Wayne Hennessey,Way-538,34,538444800,31801,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,675,900,Wales,18,8,10,0,0,0,0,0,0,0,0,5,2,3,23,8,15,0,0,0,0,0,0,0,0,1.31,68,88,0,0,0,321,404,87,13
Wes Morgan,Wes-443,37,443491200,30702,Premier League,2018/2019,Defender,Leicester City,1926,783,1143,Jamaica,22,9,13,3,1,2,0,0,0,0,0,6,3,3,24,9,15,5,2,0.14,0,0.14,0.11,0.16,642,1.12,80,88,385,0,0.23,125,300,48,6
Wesley Hoedt,Wes-762,27,762912000,34399,Premier League,2018/2019,Defender,Southampton,1170,540,630,Netherlands,13,6,7,0,0,0,0,0,0,0,0,4,2,2,20,5,15,2,0,0,0,0,0,0,0,1.54,59,90,585,0,0.15,374,370,123,27
Wilfredo Daniel Caballero,Wil-370,39,370483200,29857,Premier League,2018/2019,Goalkeeper,Chelsea,180,90,90,Argentina,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,19
Wilfried Zaha,Wil-721,28,721353600,33918,Premier League,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,Côte d'Ivoire,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,63,92,-1,2
Will Hughes,Wil-798,25,798076800,34806,Premier League,2018/2019,Midfielder,Watford,2436,1251,1185,England,32,16,16,2,1,1,4,2,2,0,0,5,3,2,39,19,20,5,0,0.22,0.15,0.07,0.07,0.08,1218,1.44,62,76,487,609,0.18,199,91,-1,8
Will Norris,Wil-745,27,745113600,34193,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Willian,Wil-587,32,587088000,32364,Premier League,2018/2019,Forward,Chelsea,2108,833,1275,Brazil,32,15,17,3,2,1,6,3,3,0,0,13,7,6,23,6,17,2,0,0.38,0.26,0.13,0.22,0.07,703,0.98,92,66,1054,351,0.09,132,36,-1,8
Willy Boly,Wil-665,30,665539200,33272,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0,0,0,8,6,2,38,17,21,3,1,0.11,0,0.11,0.12,0.11,792,1.08,83,88,792,0,0.11,148,312,43,4
Xherdan Shaqiri,Xhe-687,29,687052800,33521,Premier League,2018/2019,Midfielder,Liverpool,1058,538,520,Switzerland,24,12,12,6,5,1,3,0,3,0,0,12,7,5,5,3,2,2,0,0.77,0.26,0.51,0.84,0.17,176,0.43,212,44,529,353,0.17,15,39,-1,4
